========= 0 ===============
random sharings generation
beaver triples generation
batch_size 1280
         8720994 function calls (8674429 primitive calls) in 37.734 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      279    0.002    0.000   37.532    0.135 /usr/local/lib/python3.7/asyncio/base_events.py:1679(_run_once)
      606    0.001    0.000   37.218    0.061 /usr/local/lib/python3.7/asyncio/events.py:86(_run)
      606    0.002    0.000   37.217    0.061 {method 'run' of 'Context' objects}
       35    0.006    0.000   26.312    0.752 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:331(avss)
    96019    0.137    0.000   26.013    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:122(__pow__)
    96019   25.696    0.000   25.696    0.000 {method 'ppmul' of 'pypairing.G1' objects}
        2    0.018    0.009   24.765   12.383 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss.py:246(_get_dealer_msg)
    11520    0.181    0.000   12.671    0.001 /usr/src/HoneyBadgerMPC/honeybadgermpc/poly_commit_const.py:52(create_witness)
        2    0.031    0.016   11.396    5.698 /usr/src/HoneyBadgerMPC/honeybadgermpc/poly_commit_const.py:87(double_batch_create_witness)
       17    0.002    0.000   10.744    0.632 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:338(avss)
       35    0.009    0.000   10.583    0.302 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:137(_process_avss_msg)
        1    0.006    0.006   10.472   10.472 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:51(_handle_dealer_msgs)
        3    0.009    0.003    9.943    3.314 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:108(verify)
     3840    0.064    0.000    9.785    0.003 /usr/src/HoneyBadgerMPC/honeybadgermpc/poly_commit_const.py:236(verify_product)
     1280    0.045    0.000    4.640    0.004 /usr/src/HoneyBadgerMPC/honeybadgermpc/poly_commit_const.py:206(prove_product)
     2560    0.029    0.000    3.690    0.001 /usr/src/HoneyBadgerMPC/honeybadgermpc/poly_commit_const.py:23(commit)
    23040    0.035    0.000    3.485    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:269(__truediv__)
    23040    0.025    0.000    3.431    0.000 {built-in method builtins.divmod}
    23040    0.181    0.000    3.406    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:252(__divmod__)
     5262    0.284    0.000    2.392    0.000 {built-in method _pickle.dumps}
    46080    0.074    0.000    2.353    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:220(__sub__)
        1    0.011    0.011    2.102    2.102 /usr/src/HoneyBadgerMPC/honeybadgermpc/poly_commit_const.py:79(zero_witness)
    69120    0.230    0.000    2.095    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:229(__add__)
    84484    1.956    0.000    2.012    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:169(__getstate__)
        8    0.002    0.000    2.002    0.250 /usr/src/HoneyBadgerMPC/honeybadgermpc/symmetric_crypto.py:27(encrypt)
   224000    0.507    0.000    1.794    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:49(__init__)
  1122628    1.789    0.000    1.789    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:606(__init__)
       17    0.000    0.000    1.699    0.100 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:148(_process_avss_msg)
        1    0.000    0.000    1.590    1.590 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:230(random_shares_compute)
        2    0.020    0.010    1.534    0.767 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:254(dot_pow)
   281603    0.451    0.000    1.232    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:705(__mul__)
   224000    0.426    0.000    1.191    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:15(strip_trailing_zeros)
    48640    0.196    0.000    1.070    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:71(__call__)
    69120    0.077    0.000    1.031    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:231(<listcomp>)
   115200    0.166    0.000    0.954    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:29(mysum)
    23040    0.170    0.000    0.850    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:235(__mul__)
   235520    0.296    0.000    0.797    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:780(__eq__)
    12802    0.564    0.000    0.792    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:795(random)
    46080    0.073    0.000    0.711    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:223(__neg__)
     5120    0.015    0.000    0.701    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:162(random)
     5120    0.007    0.000    0.627    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:164(<listcomp>)
      145    0.086    0.001    0.540    0.004 {built-in method _pickle.loads}
        5    0.001    0.000    0.504    0.101 /usr/src/HoneyBadgerMPC/honeybadgermpc/symmetric_crypto.py:37(decrypt)
   407065    0.302    0.000    0.392    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:34(dupe_pyfr)
   202295    0.323    0.000    0.370    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:47(__init__)
    55045    0.067    0.000    0.359    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:180(__setstate__)
      279    0.001    0.000    0.310    0.001 /usr/local/lib/python3.7/selectors.py:451(select)
      279    0.309    0.001    0.309    0.001 {method 'poll' of 'select.epoll' objects}
    97280    0.112    0.000    0.303    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:721(__imul__)
    46080    0.039    0.000    0.257    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:224(<listcomp>)
   281600    0.166    0.000    0.232    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:660(__iadd__)
    23046    0.051    0.000    0.220    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:739(__truediv__)
   115250    0.117    0.000    0.220    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:209(one)
    69120    0.080    0.000    0.218    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:775(__neg__)
        8    0.006    0.001    0.209    0.026 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss.py:291(<listcomp>)
        8    0.006    0.001    0.201    0.025 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss.py:292(<listcomp>)
    90880    0.066    0.000    0.175    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:98(__imul__)
    32000    0.058    0.000    0.169    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:88(__mul__)
   122880    0.154    0.000    0.154    0.000 {method 'add_assign' of 'pypairing.G1' objects}
        9    0.009    0.001    0.148    0.016 /usr/src/HoneyBadgerMPC/honeybadgermpc/poly_commit_const.py:177(batch_verify_eval_zero_knowledge)
    12802    0.010    0.000    0.142    0.000 /usr/local/lib/python3.7/random.py:218(randint)
    69120    0.058    0.000    0.140    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:58(is_zero)
    12802    0.022    0.000    0.132    0.000 /usr/local/lib/python3.7/random.py:174(randrange)
1014454/968340    0.114    0.000    0.131    0.000 {built-in method builtins.len}
   230400    0.085    0.000    0.130    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:217(__iter__)
    23040    0.031    0.000    0.114    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:239(<listcomp>)
    92160    0.035    0.000    0.112    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:246(degree)
    12802    0.020    0.000    0.110    0.000 /usr/local/lib/python3.7/random.py:224(_randbelow)
   401929    0.103    0.000    0.103    0.000 {method 'mul_assign' of 'pypairing.ZR' objects}
        1    0.000    0.000    0.101    0.101 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:152(__aenter__)
        1    0.000    0.000    0.101    0.101 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:48(__aenter__)
        1    0.000    0.000    0.101    0.101 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:64(_setup)
        4    0.000    0.000    0.101    0.025 /opt/venv/lib/python3.7/site-packages/zmq/sugar/context.py:335(socket)
        4    0.000    0.000    0.100    0.025 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:206(__init__)
        8    0.100    0.012    0.100    0.013 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:131(__init__)
    23046    0.099    0.000    0.099    0.000 {method 'inverse' of 'pypairing.ZR' objects}
    46080    0.018    0.000    0.096    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:786(__getstate__)
    32000    0.012    0.000    0.096    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:789(__setstate__)
       35    0.000    0.000    0.091    0.003 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:15(pair)
       35    0.090    0.003    0.090    0.003 {method 'py_pairing_with' of 'pypairing.G1' objects}
   407065    0.090    0.000    0.090    0.000 {method 'copy' of 'pypairing.ZR' objects}
    14135    0.022    0.000    0.087    0.000 /usr/local/lib/python3.7/random.py:681(getrandbits)
        1    0.003    0.003    0.078    0.078 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:85(_handle_dealer_msgs_batch)
